station*;site d'echantillonnage*;jeu de donnees*;sample_name*;sampling_resp*;sampling_date(dd/mm/yyyy)*;sampling_time (hh:mm);sampling_depth_min;sampling_depth_max;sampling_volume;tide;tide_coefficient;sampling_device*;bottle_model;bottle_volume (liter);pump_model;pump_flow (L per min);net_length (m);net_type;net_area (m2);net_mesh (µm);net_direction;analysis_method*;analysis_resp*;analysis_date (dd/mm/yyyy)*;preservation;volume_analysed(ml);filtration_mesh;sample_fraction;fractioning_method;fixing_method;volume_sedimentation_chamber(ml);taxon_pelagos;Achnanthes;Actinoptychus senarius;Alexandrium minutum;Alexandrium;Alexandrium;Amphidiniopsis;Amphidinium;Azadinium caudatum;Amphiprora;Amphitetras;Asterionella bleakeleyi;Asterionella formosa;Asterionella glacialis;Asteromphalus;Asterionella kariana;Attheya;Azadinium caudatum;Azadinium;Bacillaria paxillifera;Bacillariophycanae;Bacteriastrum delicatulum;Bacteriastrum;Bellerochea malleus;Biddulphia rhombus;Biddulphia sinensis;Biddulphia;Centrodinium punctatum;Centrodinium punctatum;Cerataulina pelagica;Chaetoceros affinis;Chaetoceros breve;Chaetoceros curvisetus;Chaetoceros danicus;Chaetoceros debilis;Chaetoceros decipiens;Chaetoceros densus;Chaetoceros diadema;Chaetoceros didymus;Chaetoceros lorenzianus;Chaetoceros mitra;Chaetoceros peruvianus;Chaetoceros protuberans;Chaetoceros pseudocurvisetus;Chaetoceros simplex;Chaetoceros socialis;Chaetoceros;Chaetoceros tenuissimus;Chaetoceros teres;Chattonella;Ciliophora;Cocconeis;Codonella;Coolia;Corethron;Corythodinium tesselatum;Coscinodiscus concinnus;Coscinodiscus granii;Coscinodiscus radiatus;Coscinodiscus;Coscinodiscus wailesii;Cryptophyceae;Cryptophyceae;Cylindrotheca closterium;Cylindrotheca fusiformis;Cymatosira belgica;Cyrtostrombidium;Dactyliosolen fragilissimus;Dactyliosolen phuketensis;Dactyliosolen;Detonula confervacea;Detonula pumila;Detonula;Dictyocha crux;Dictyocha fibula;Dictyocha fibula;Dictyocha;Octactis speculum;Dictyocha;Dinobryon;Dinophysaceae;Dinophysis acuminata;Dinophysis acuta;Dinophysis caudata;Dinophysis dens;Dinophysis fortii;Dinophysis hastata;Dinophysis sacculus;Dinophysis;Dinophysis tripos;Diploneis;Diplopsalis;Ditylum brightwellii;Ebriaceae;Empty Bacillariophyceae;Entomoneis alata;Eucampia zodiacus;Euglenoidea;Eupyxidicula nipponica;Eutintinnus;Foraminifera;Gonyaulacaceae;Gonyaulax;Gonyaulax spinifera;Gonyaulax verior;Grammatophora;Guinardia delicatula;Guinardia flaccida;Guinardia;Guinardia striata;Gymnodinium catenatum;Gymnodinium;Gyrodinium fusus;Gyrodinium;Gyrodinium spirale;Helicotheca tamesis;Hemiaulus hauckii;Hemiaulus hauckii;Hemiaulus sinensis;Hemiaulus;Heterocapsa minima;Heterocapsa niei;Heterocapsa rotundata;Heterocapsa;Kryptoperidinium triquetrum;Hobaniella longicruris;Karenia;Lauderia annulata;Lebouridinium glaucum;Leptocylindrus danicus;Leptocylindrus mediterraneus;Leptocylindrus minimus;Levanderina fissa;Licmophora;Lithodesmium undulatum;Lyrella;Mediopyxis helysia;Melosira;Mesodinium rubrum;Meuniera membranacea;Nitzschia longissima;Nitzschia;Noctiluca;Octactis octonaria;Octactis speculum;Odontella aurita;Ostreopsis;Oxytoxum adriaticum;Oxytoxum caudatum;Oxytoxum coronatum;Oxytoxum parvum;Oxytoxum schauinslandii;Oxytoxum scolopax;Oxytoxum;Oxytoxum tesselatum;Paralia sulcata;Phaeocystis pouchetii;Phalacroma rotundatum;Phalacroma;Plagiogramma vanheurckii;Plagiogrammopsis;Planktoniella sol;Pleurosigmataceae;Podolampas bipes;Podolampas palmipes;Podolampas;Porosira glacialis;Proboscia alata;Proboscia indica;Proboscia;Pronoctiluca;Prorocentrum balticum;Prorocentrum gracile;Prorocentrum lima;Prorocentrum micans;Prorocentrum cordatum;Prorocentrum;Prorocentrum triestinum;Protoperidiniaceae;Protoperidinium bipes;Protoperidinium bispinum;Protoperidinium brevipes;Protoperidinium conicum;Protoperidinium depressum;Protoperidinium divergens;Protoperidinium leonis;Protoperidinium oblongum;Protoperidinium steinii;Pseudo-nitzschia delicatissima;Pseudo-nitzschia multistriata;Pseudo-nitzschia seriata;Pseudopedinella;Pseudosolenia calcar-avis;Pseudosolenia;Pyrocystis;Pyrophacus;Rhabdonema;Rhizosolenia bergonii;Rhizosolenia cylindrus;Rhizosolenia hebetata;Rhizosolenia imbricata;Rhizosolenia robusta;Rhizosolenia setigera;Rhizosolenia styliformis;Rhizosoleniaceae;Scrippsiella acuminata;Skeletonema costatum;Skeletonema;Solenicola setigera;Stephanopyxis palmeriana;Stephanopyxis;Striatella;Strobilidium;Thalassionema nitzschioides;Thalassiosira gravida;Thalassiosira minima;Thalassiosira punctigera;Thalassiosira rotula;Thalassiosira;Thecadinium;Tintinnina;Torodinium;Triceratium;Trieres mobiliensis;Trigonium alternans;Tripos candelabrus;Tripos declinatus;Tripos furca;Tripos fusus;Tripos horridus;Tripos lineatus;Tripos longipes;Tripos macroceros;Tripos muelleri;Tripos ranipes;Tripos;Tripos teres;Dinoflagellata;Dinoflagellata;Dinoflagellata;Dinoflagellata;Dinoflagellata;Dinoflagellata;Fragilariaceae;Naviculales;Prasinophyceae;Prasinophyceae;Prymnesiales;Raphidophyceae;Centrales;Centrales;Pennales;Pennales;Pennales
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;taxon_user;Achnanthes sp.;Actinoptychus senarius;Alexandrium minutum;Alexandrium sp.;Alexandrium sp.;Amphidiniopsis sp.;Amphidinium sp.;Amphidoma sp.;Amphiprora sp.;Amphitetras sp.;Asterionella bleakeleyi;Asterionella formosa;Asterionellopsis glacialis;Asteromphalus sp.;Asteroplanus karianus;Attheya sp.;Azadinium caudatum;Azadinium sp.;Bacillaria paxillifera;Bacillariophycanae;Bacteriastrum delicatulum;Bacteriastrum sp.;Bellerochea malleus;Biddulphia rhombus;Biddulphia sinensis;Biddulphia sp.;Centrodinium punctatum;Centrodinium punctatum;Cerataulina pelagica;Chaetoceros affinis;Chaetoceros brevis;Chaetoceros curvisetus;Chaetoceros danicus;Chaetoceros debilis;Chaetoceros decipiens;Chaetoceros densus;Chaetoceros diadema;Chaetoceros didymus;Chaetoceros lorenzianus;Chaetoceros mitra;Chaetoceros peruvianus;Chaetoceros protuberans;Chaetoceros pseudocurvisetus;Chaetoceros simplex;Chaetoceros socialis;Chaetoceros sp.;Chaetoceros tenuissimus;Chaetoceros teres;Chattonella sp.;Ciliophora;Cocconeis sp.;Codonella sp.;Coolia sp.;Corethron sp.;Corythodinium tesselatum;Coscinodiscus concinnus;Coscinodiscus granii;Coscinodiscus radiatus;Coscinodiscus sp.;Coscinodiscus wailesii;Cryptophyceae;Cryptophyceae;Cylindrotheca closterium;Cylindrotheca fusiformis;Cymatosira belgica;Cyrtostrombidium sp.;Dactyliosolen fragilissimus;Dactyliosolen phuketensis;Dactyliosolen sp.;Detonula confervacea;Detonula pumila;Detonula sp.;Dictyocha crux;Dictyocha fibula;Dictyocha fibula;Dictyocha sp.;Dictyocha speculum;Dictyocha à épines;Dinobryon sp.;Dinophysaceae;Dinophysis acuminata;Dinophysis acuta;Dinophysis caudata;Dinophysis dens;Dinophysis fortii;Dinophysis hastata;Dinophysis sacculus;Dinophysis sp.;Dinophysis tripos;Diploneis sp.;Diplopsalis sp.;Ditylum brightwellii;Ebriaceae;Empty Bacillariophyceae;Entomoneis alata;Eucampia zodiacus;Euglenoidea;Eupyxidicula nipponica;Eutintinnus sp.;Foraminifera;Gonyaulacaceae;Gonyaulax sp.;Gonyaulax spinifera;Gonyaulax verior;Grammatophora sp.;Guinardia delicatula;Guinardia flaccida;Guinardia sp.;Guinardia striata;Gymnodinium catenatum;Gymnodinium sp.;Gyrodinium fusus;Gyrodinium sp.;Gyrodinium spirale;Helicotheca tamesis;Hemiaulus hanckii;Hemiaulus hauckii;Hemiaulus sinensis;Hemiaulus sp.;Heterocapsa minima;Heterocapsa niei;Heterocapsa rotundata;Heterocapsa sp.;Heterocapsa triquetra;Hobaniella longicruris;Karenia sp.;Lauderia annulata;Lebouridinium glaucum;Leptocylindrus danicus;Leptocylindrus mediterraneus;Leptocylindrus minimus;Levanderina fissa;Licmophora sp.;Lithodesmium undulatum;Lyrella sp.;Mediopyxis helysia;Melosira sp.;Mesodinium rubrum;Meuniera membranacea;Nitzschia longissima;Nitzschia sp.;Noctiluca sp.;Octactis octonaria;Octactis speculum;Odontella aurita;Ostreopsis sp.;Oxytoxum adriaticum;Oxytoxum caudatum;Oxytoxum coronatum;Oxytoxum parvum;Oxytoxum schauinslandii;Oxytoxum scolopax;Oxytoxum sp.;Oxytoxum tesselatum;Paralia sulcata;Phaeocystis pouchetii;Phalacroma rotundatum;Phalacroma sp.;Plagiogramma vanheurckii;Plagiogrammopsis sp.;Planktoniella sol;Pleurosigma/Gyrosigma;Podolampas bipes;Podolampas palmipes;Podolampas sp.;Porosira glacialis;Proboscia alata;Proboscia indica;Proboscia sp.;Pronoctiluca sp.;Prorocentrum balticum;Prorocentrum gracile;Prorocentrum lima;Prorocentrum micans;Prorocentrum minimum;Prorocentrum sp.;Prorocentrum triestinum;Protoperidiniaceae;Protoperidinium bipes;Protoperidinium bispinum;Protoperidinium brevipes;Protoperidinium conicum;Protoperidinium depressum;Protoperidinium divergens;Protoperidinium leonis;Protoperidinium oblongum;Protoperidinium steinii;Pseudo-nitzschia delicatissima;Pseudo-nitzschia multistriata;Pseudo-nitzschia seriata;Pseudopedinella sp.;Pseudosolenia calcar-avis;Pseudosolenia sp.;Pyrocystis sp.;Pyrophacus sp.;Rhabdonema sp.;Rhizosolenia bergonii;Rhizosolenia cylindrus;Rhizosolenia hebetata;Rhizosolenia imbricata;Rhizosolenia robusta;Rhizosolenia setigera;Rhizosolenia styliformis;Rhizosoleniaceae;Scrippsiella trochoidea;Skeletonema costatum;Skeletonema sp.;Solenicola setigera;Stephanopyxis palmeriana;Stephanopyxis sp.;Striatella sp.;Strobilidium sp.;Thalassionema nitzschioides;Thalassiosira gravida;Thalassiosira minima;Thalassiosira punctigera;Thalassiosira rotula;Thalassiosira sp.;Thecadinium sp.;Tintinnina;Torodinium sp.;Triceratium sp.;Trieres mobiliensis;Trigonium alternans;Tripos candelabrum;Tripos declinatus;Tripos furca;Tripos fusus;Tripos horridus;Tripos lineatus;Tripos longipes;Tripos macroceros;Tripos muelleri;Tripos ranipes;Tripos sp.;Tripos teres;Undetermined Dinoflagellata sp.;Undetermined Dinoflagellata sp.;Undetermined Dinoflagellata sp.;Undetermined Dinoflagellata sp.;Undetermined Dinoflagellata sp.;Undetermined Dinoflagellata sp.;Undetermined Fragilariaceae;Undetermined Naviculales;Undetermined Prasinophyceans < 10µ;Undetermined Prasinophyceans > 10µ;Undetermined Prymnesiophyceans < 10µ;Undetermined Raphidophyceans < 10µ;Undetermined centrales;Undetermined centrales;Undetermined pennales;Undetermined pennales;Undetermined pennales
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;aphiaID;149191;148948;109711;109470;109470;109556;109473;837075;149140;578002;149375;148954;148955;162254;148956;160519;837075;391508;558243;591186;164108;149118;149306;149324;148969;148967;233744;233744;149619;149241;149291;149221;149120;149219;149126;149121;149128;149122;156617;148986;178185;163055;178229;149294;149123;148985;156623;149125;233776;11;148989;150203;109534;149109;110077;148992;149271;149158;148917;156632;17639;17639;149004;375677;149012;393573;149310;248064;149309;149286;149647;149285;375788;157463;157463;157258;1310442;157258;157240;231772;109603;109604;109612;109616;109624;109627;232261;109462;109662;149018;109515;149023;146208;;157428;149131;582177;1322723;183543;1410;109428;109519;110041;110045;149335;149112;149132;149111;149113;109784;109475;232943;109476;109876;157440;163249;163249;163250;163248;233619;233620;110152;109540;1346683;1322468;231788;149135;1382182;149106;149230;149039;840689;149342;149322;180390;345485;149042;232069;149145;149150;149045;109500;375970;1310442;149050;109524;110079;110082;110086;110109;838240;110115;109528;233874;149055;115106;156505;109466;149352;149056;196815;149032;110199;232625;109550;156689;149168;345513;149167;109487;110293;110300;110301;110303;232376;109566;110316;109435;110208;233466;110210;110213;110217;110219;110229;110238;110257;149153;246608;149152;160599;163344;163342;109571;109555;157072;196811;163242;149070;149116;149311;149115;149629;149068;1321853;149074;149073;118073;231888;149630;149176;101185;149093;149102;148925;148936;148942;148912;109557;732976;109479;149154;839991;699394;841193;841202;840627;840626;837453;837459;841259;841260;495363;837234;494057;1381154;146203;146203;146203;146203;146203;146203;148952;149015;17329;17329;115061;160581;341285;341285;1304629;1304629;1304629
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;stage;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;form;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;>10µm;;;;;;;;;;;;<10µm;>=10µm;;;;;;;;;;;;;;;;<10µm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<3µm;sigmoïdes;>=3µm;<10µm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;<10µm;>10µm;>=10µm;naked >=10µm;thecate >=10µm;;;;<10µm;>10µm;<10µm;<10µm;<10µm;>=10µm;;<10µm;>=10µm
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sex;;;;;cysts;;;;;;;;;;;;;;;;;;;;;;;cysts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cysts;;;;;;;;;;;
Université de Bordeaux-EPOC;SOMLIT - Bouée13;Arcachon - Bouée 13;SB13_20180802_1m;Yolanda DEL AMO;02/08/2018;7:6;1.0;0.0;250.0;PM;69.0;bottle;Niskin;8.0;;;;;;;;Comptage taxinomique phytoplancton;Laurence COSTES;02/07/2019;obscur, temperature amb;12.5;;25.0;;;;;;;;;;;;;;;;;;;;;;;240;;;;;;;;;;80;;;;160;;;;;;;;;;;;;;;;;;;;;;;;;;240;;89670;;720;;;;;;;;;;;;240;;;;;;;;;;;;;;;;;;;;80;;;;;;480;;;;;;1040;;;;1440;;160;;160;;;;;;;;;;;;;;1680;;;;;;;;;;;;;;;;;;;;;;;;;;1720;;;;;;;240;;;;;1440;480;;;;;;240;;;;;;;;;80;;;;;1920;;880;;;;;;;;;;80;160;;80;160;;;;;;;;;;;;;;480;;80;;;;;;;;80;320;;;;;;;;80703;;;;;960;;640;;;;;;;240;;
Université de Bordeaux-EPOC;SOMLIT - Bouée13;Arcachon - Bouée 13;SB13_20180817_1m;Yolanda DEL AMO;17/08/2018;8:10;1.0;0.0;250.0;PM;70.0;bottle;Niskin;8.0;;;;;;;;Comptage taxinomique phytoplancton;Laurence COSTES;01/07/2019;obscur, temperature amb;12.5;;25.0;;;;;;;;880;;;;;;;;;;;;;;;;;;;;;;;;;80;;;;;;;;;;;;;;;;;;;;;240;400;;;;;;;;;;95648;;80;;;;320;;;;;;;;80;;;;;;;;;;;;;;;;;;;;240;;;;;;80;;;;;;;;;;880;;1760;;;;;;;;;;;;;;;;;;;;;3920;;;;;240;;;;;;;;;;;;;;;;;;80;;;640;;320;;;80;;;240;;;;;;80;;;;960;;;;;;;;;;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20923;1680;;;;640;;;;;;;;;;;
Université de Bordeaux-EPOC;SOMLIT - Bouée13;Arcachon - Bouée 13;SB13_20180903_1m;Yolanda DEL AMO;03/09/2018;8:59;1.0;0.0;250.0;PM;52.0;bottle;Niskin;8.0;;;;;;;;Comptage taxinomique phytoplancton;Laurence COSTES;03/07/2019;obscur, temperature amb;5.0;;10.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;400;;;1800;;;;;;;;;;;;;;1000;;;;200;;;;;;;;;;;119552;;3800;;;;200;;;;;;;;400;;;;;;;;;;;;;;;;;;;;;;;;;;2000;;;;;;1400;;800;;;;3000;;200;;;;;;;;;;;;400;;6600;;;;;200;;;;;;;;;;;;;;;;;;;;;600;;;;;;;200;;;;;;200;;;;;;800;;;;600;;;;;;;;;;3000;;2600;;;;;;;;;400;9200;;;;;;;;;;;;;;;;;;6000;;;400;;;;;;;;;;;;;;;;59776;3600;;;;1400;;600;;;;;;;400;;
Université de Bordeaux-EPOC;SOMLIT - Bouée13;Arcachon - Bouée 13;SB13_20180914_1m;Yolanda DEL AMO;14/09/2018;6:46;1.0;0.0;250.0;PM;85.0;bottle;Niskin;8.0;;;;;;;;Comptage taxinomique phytoplancton;Laurence COSTES;09/07/2019;obscur, temperature amb;5.0;;10.0;;;;;;;;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;12600;;6200;;;;;;;;;;;;;;;600;1400;;;;;;;;;;67248;;3600;;;;200;;;;;;;;600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3200;;;;;;;;;;1000;;;;;;;;;;;;6200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;600;;;;;;;;;;;;400;;;;;200;;;;;;;;;3000;;3000;;;;;;;;;600;;400;;;;;;;;;;;;400;;;;;6600;;;;;;;;;;;;;;;;;;;97056;1400;;;;1000;;1000;37360;;;;;;2600;;
Université de Bordeaux-EPOC;SOMLIT - Bouée13;Arcachon - Bouée 13;SB13_20181003_1m;Yolanda DEL AMO;03/10/2018;9:42;1.0;0.0;250.0;PM;44.0;bottle;Niskin;8.0;;;;;;;;Comptage taxinomique phytoplancton;Laurence COSTES;04/07/2019;obscur, temperature amb;5.0;;10.0;;;;;;;;;;;;;;;;;200;;;;;;;;;;;;200;;;;400;;;;;;;;;;;;;;;;;;;;;200;200;;;;;;;;;;156912;;3000;;;;;;;;;;;;1600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2400;;;3600;;800;;;;;;;;;;;;;;;;26400;;;;;;;;600;;200;;;;;;;;;;;;;;;;800;;;;;;;;;;;;;200;;;;;;200;;;;2400;;;;;;;;;;2000;;7600;;;;;;;;;200;400;;;;;;;;;;;;;;;;;;4000;;;;;;;;400;;;;;;;;;;;179328;2800;;;;2400;;1200;;;;14944;;;400;;
Université de Bordeaux-EPOC;SOMLIT - Bouée13;Arcachon - Bouée 13;SB13_20181015_1m;Yolanda DEL AMO;15/10/2018;7:56;1.0;0.0;250.0;PM;53.0;bottle;Niskin;8.0;;;;;;;;Comptage taxinomique phytoplancton;Laurence COSTES;05/07/2019;obscur, temperature amb;12.5;;25.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3120;;;;;;;;;;;;;240;;;;960;;;;;;;;;;;143472;;720;;;;;;240;;;;;;160;;240;;;;;;;;;;;;;;80;;;;;;;160;;;1120;;;;;;240;;;;;;1200;;;;;;;;;;;;;;;;12160;;;;;;;;;;160;;;;;;;;;;;;;;;;320;;;;;;;160;;;;;;;;;;;;800;;;;160;;;;;;;;;;1680;;3680;;;;;;;;;;640;480;;;;;;;;;;;;160;;;;;1520;;;;;;;;;;;;;;;;;;;59780;;;;;80;;;17934;;;;;;;;
Université de Bordeaux-EPOC;SOMLIT - Bouée13;Arcachon - Bouée 13;SB13_20181030_1m;Yolanda DEL AMO;30/10/2018;7:18;1.0;0.0;250.0;PM;67.0;bottle;Niskin;8.0;;;;;;;;Comptage taxinomique phytoplancton;Laurence COSTES;16/07/2019;obscur, temperature amb;12.5;;25.0;;;;;;80;;;;;;;;;;;320;;;;;;;;;;;;;;;;160;;;;;;;;;400;;;;;;;;;;;;640;;;;;;;;;;;74725;;2320;;;;320;;;;;;;;400;;;;;;;;;;;;;;;;;;;;;;;;;;800;;;;;;;80;;;;;2560;;;;;160;;;;;;;;;;;4800;;2240;;80;;;;;;;;;;;;;;;;;;;;;;160;;;;;;;320;;;;;;;;;;;;;;;;;;;;;;;;;;14080;;160;;80;;;;;;;;;;;;;;;;;;;;;3440;;;;;4640;;80;;;;;;;;80;;;;;;;;;47824;560;;;;;;480;104615;;;;;;480;;
Université de Bordeaux-EPOC;SOMLIT - Bouée13;Arcachon - Bouée 13;SB13_20181113_1m;Yolanda DEL AMO;13/11/2018;7:11;1.0;0.0;250.0;PM;56.0;bottle;Niskin;8.0;;;;;;;;Comptage taxinomique phytoplancton;Laurence COSTES;14/12/2018;obscur, temperature amb;25.0;;25.0;;;;;;;;;;;;;;;;;240;;;;;;;;;;;;;;;;240;;;;;;;;;;;;;;;;;40;;;;40;;;;;;;;;120;;386901;;1160;;;;;;;;;;;;80;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2560;400;;800;;400;;;;;;;;;;;;;;;;;;400;;;;;;;;;;;;;;;;;;;;;;;;;;1720;;;;;;;120;;;;;;;80;;;;;;;;;;;;;;;;;;;3080;;2160;;;;;;;;;;;;;;;;;;;240;;;;80;;;;;160;;;;;40;;;;;80;;;;;;;;;;;;;;800;;80;;;;;;;;;
