TAXON;aphiaID;Kingdom;Phylum;Subphylum;Superclass;Class;Infraclass;Superorder;Order;Family;Genus;Species;Subclass;Suborder;Subfamily;Tribe;Subgenus;Infraphylum;Parvphylum;Gigaclass;Infraorder;Superfamily;Parvorder;Subterclass;Section;Subsection;rank
Oithona similis;106656;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Cyclopoida;Oithonidae;Oithona;Oithona similis;NA;Oithonida;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Anomura;106671;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;NA;NA;NA;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Anomura;NA;NA;NA;NA;NA;Infraorder
Brachyura;106673;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;NA;NA;NA;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Brachyura;NA;NA;NA;NA;NA;Infraorder
Caridea;106674;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;NA;NA;NA;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Caridea;NA;NA;NA;NA;NA;Infraorder
Thalassinidea;106677;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;NA;NA;NA;Eumalacostraca;Macrura;NA;NA;NA;NA;NA;NA;Thalassinidea;NA;NA;NA;NA;NA;Infraorder
Galatheidae;106733;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Galatheidae;NA;NA;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Anomura;Galatheoidea;NA;NA;NA;NA;Family
Porcellanidae;106734;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Porcellanidae;NA;NA;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Anomura;Galatheoidea;NA;NA;NA;NA;Family
Diogenidae;106736;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Diogenidae;NA;NA;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Anomura;Paguroidea;NA;NA;NA;NA;Family
Paguridae;106738;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Paguridae;NA;NA;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Anomura;Paguroidea;NA;NA;NA;NA;Family
Hippolytidae;106777;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Hippolytidae;NA;NA;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Caridea;Alpheoidea;NA;NA;NA;NA;Family
Crangonidae;106782;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Crangonidae;NA;NA;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Caridea;Crangonoidea;NA;NA;NA;NA;Family
Galathea;106834;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Galatheidae;Galathea;NA;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Anomura;Galatheoidea;NA;NA;NA;NA;Genus
Eurynome;106901;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Majidae;Eurynome;NA;Eumalacostraca;Pleocyemata;Majinae;NA;NA;NA;NA;NA;Brachyura;Majoidea;NA;NA;Eubrachyura;Heterotremata;Genus
Liocarcinus;106925;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Polybiidae;Liocarcinus;NA;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Brachyura;Portunoidea;NA;NA;Eubrachyura;Heterotremata;Genus
Eualus;106986;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Thoridae;Eualus;NA;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Caridea;Alpheoidea;NA;NA;NA;NA;Genus
Processa;107054;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Processidae;Processa;NA;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Caridea;Processoidea;NA;NA;NA;NA;Genus
Galathea squamifera;107154;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Galatheidae;Galathea;Galathea squamifera;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Anomura;Galatheoidea;NA;NA;NA;NA;Species
Galathea strigosa;107155;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Galatheidae;Galathea;Galathea strigosa;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Anomura;Galatheoidea;NA;NA;NA;NA;Species
Pisidia longicornis;107188;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Porcellanidae;Pisidia;Pisidia longicornis;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Anomura;Galatheoidea;NA;NA;NA;NA;Species
Porcellana platycheles;107190;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Porcellanidae;Porcellana;Porcellana platycheles;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Anomura;Galatheoidea;NA;NA;NA;NA;Species
Diogenes pugilator;107199;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Diogenidae;Diogenes;Diogenes pugilator;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Anomura;Paguroidea;NA;NA;NA;NA;Species
Anapagurus laevis;107218;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Paguridae;Anapagurus;Anapagurus laevis;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Anomura;Paguroidea;NA;NA;NA;NA;Species
Pagurus bernhardus;107232;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Paguridae;Pagurus;Pagurus bernhardus;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Anomura;Paguroidea;NA;NA;NA;NA;Species
Atelecyclus rotundatus;107273;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Atelecyclidae;Atelecyclus;Atelecyclus rotundatus;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Brachyura;Cancroidea;NA;NA;Eubrachyura;Heterotremata;Species
Corystes cassivelaunus;107277;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Corystidae;Corystes;Corystes cassivelaunus;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Brachyura;Corystoidea;NA;NA;Eubrachyura;Heterotremata;Species
Pirimela denticulata;107278;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Pirimelidae;Pirimela;Pirimela denticulata;Eumalacostraca;Pleocyemata;Pirimelinae;NA;NA;NA;NA;NA;Brachyura;Portunoidea;NA;NA;Eubrachyura;Heterotremata;Species
Thia scutellata;107281;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Thiidae;Thia;Thia scutellata;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Brachyura;Portunoidea;NA;NA;Eubrachyura;Heterotremata;Species
Macropodia tenuirostris;107346;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Inachidae;Macropodia;Macropodia tenuirostris;Eumalacostraca;Pleocyemata;Inachinae;NA;NA;NA;NA;NA;Brachyura;Majoidea;NA;NA;Eubrachyura;Heterotremata;Species
Maja brachydactyla;107347;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Majidae;Maja;Maja brachydactyla;Eumalacostraca;Pleocyemata;Majinae;NA;NA;NA;NA;NA;Brachyura;Majoidea;NA;NA;Eubrachyura;Heterotremata;Species
Carcinus maenas;107381;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Carcinidae;Carcinus;Carcinus maenas;Eumalacostraca;Pleocyemata;Carcininae;NA;NA;NA;NA;NA;Brachyura;Portunoidea;NA;NA;Eubrachyura;Heterotremata;Species
Necora puber;107398;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Polybiidae;Necora;Necora puber;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Brachyura;Portunoidea;NA;NA;Eubrachyura;Heterotremata;Species
Portumnus latipes;107400;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Carcinidae;Portumnus;Portumnus latipes;Eumalacostraca;Pleocyemata;Platyonichinae;NA;NA;NA;NA;NA;Brachyura;Portunoidea;NA;NA;Eubrachyura;Heterotremata;Species
Pilumnus hirtellus;107418;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Pilumnidae;Pilumnus;Pilumnus hirtellus;Eumalacostraca;Pleocyemata;Pilumninae;NA;NA;NA;NA;NA;Brachyura;Pilumnoidea;NA;NA;Eubrachyura;Heterotremata;Species
Pinnotheres pisum;107473;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Pinnotheridae;Pinnotheres;Pinnotheres pisum;Eumalacostraca;Pleocyemata;Pinnotherinae;NA;NA;NA;NA;NA;Brachyura;Pinnotheroidea;NA;NA;Eubrachyura;Thoracotremata;Species
Athanas nitescens;107486;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Alpheidae;Athanas;Athanas nitescens;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Caridea;Alpheoidea;NA;NA;NA;NA;Species
Eualus occultus;107506;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Thoridae;Eualus;Eualus occultus;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Caridea;Alpheoidea;NA;NA;NA;NA;Species
Crangon allmanni;107551;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Crangonidae;Crangon;Crangon allmanni;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Caridea;Crangonoidea;NA;NA;NA;NA;Species
Crangon crangon;107552;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Crangonidae;Crangon;Crangon crangon;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Caridea;Crangonoidea;NA;NA;NA;NA;Species
Philocheras trispinosus;107562;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Crangonidae;Philocheras;Philocheras trispinosus;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Caridea;Crangonoidea;NA;NA;NA;NA;Species
Upogebia deltaura;107739;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Eucarida;Decapoda;Upogebiidae;Upogebia;Upogebia deltaura;Eumalacostraca;Pleocyemata;NA;NA;NA;NA;NA;NA;Gebiidea;NA;NA;NA;NA;NA;Species
Pseudocuma;110427;Animalia;Arthropoda;Crustacea;Multicrustacea;Malacostraca;NA;Peracarida;Cumacea;Pseudocumatidae;Pseudocuma;NA;Eumalacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Electra pilosa;111355;Animalia;Bryozoa;NA;NA;Gymnolaemata;NA;NA;Cheilostomatida;Electridae;Electra;Electra pilosa;NA;Membraniporina;NA;NA;NA;NA;NA;NA;NA;Membraniporoidea;NA;NA;NA;NA;Species
Thalestridae;115181;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Harpacticoida;Thalestridae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Tisbidae;115183;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Harpacticoida;Tisbidae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Family
Harpacticus;115349;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Harpacticoida;Harpacticidae;Harpacticus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Tigriopus;115351;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Harpacticoida;Harpacticidae;Tigriopus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Zaus;115352;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Harpacticoida;Harpacticidae;Zaus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Laophonte;115374;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Harpacticoida;Laophontidae;Laophonte;NA;NA;NA;Laophontinae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Longipedia;115403;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Canuelloida;Longipediidae;Longipedia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Alteutha;115427;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Harpacticoida;Peltidiidae;Alteutha;NA;NA;NA;Peltidiinae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Sacodiscus;115480;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Harpacticoida;Tisbidae;Sacodiscus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Euterpina acutifrons;116162;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Harpacticoida;Tachidiidae;Euterpina;Euterpina acutifrons;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Laophontopsis lamellifera;116327;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Harpacticoida;Laophontopsidae;Laophontopsis;Laophontopsis lamellifera;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Microarthridion littorale;116498;Animalia;Arthropoda;Crustacea;Multicrustacea;Copepoda;Neocopepoda;Podoplea;Harpacticoida;Tachidiidae;Microarthridion;Microarthridion littorale;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Bougainvillia;117015;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Anthoathecata;Bougainvilliidae;Bougainvillia;NA;Hydroidolina;Filifera;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Obelia;117034;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Leptothecata;Campanulariidae;Obelia;NA;Hydroidolina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Sarsia;117070;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Anthoathecata;Corynidae;Sarsia;NA;Hydroidolina;Capitata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Hydractinia;117117;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Anthoathecata;Hydractiniidae;Hydractinia;NA;Hydroidolina;Filifera;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Rathkea;117211;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Anthoathecata;Rathkeidae;Rathkea;NA;Hydroidolina;Filifera;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Genus
Nemopsis bachei;117348;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Anthoathecata;Bougainvilliidae;Nemopsis;Nemopsis bachei;Hydroidolina;Filifera;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Clytia hemisphaerica;117368;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Leptothecata;Campanulariidae;Clytia;Clytia hemisphaerica;Hydroidolina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Sarsia tubulosa;117491;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Anthoathecata;Corynidae;Sarsia;Sarsia tubulosa;Hydroidolina;Capitata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Eutima gegenbauri;117514;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Leptothecata;Eirenidae;Eutima;Eutima gegenbauri;Hydroidolina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Eucheilota maculata;117535;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Leptothecata;Lovenellidae;Eucheilota;Eucheilota maculata;Hydroidolina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Margelopsis haeckelii;117741;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Anthoathecata;Margelopsidae;Margelopsis;Margelopsis haeckelii;Hydroidolina;Aplanulata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Mitrocomella brownei;117754;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Leptothecata;Mitrocomidae;Mitrocomella;Mitrocomella brownei;Hydroidolina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Phialella quadrata;117804;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Leptothecata;Phialellidae;Phialella;Phialella quadrata;Hydroidolina;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Rathkea octopunctata;117848;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Anthoathecata;Rathkeidae;Rathkea;Rathkea octopunctata;Hydroidolina;Filifera;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Ectopleura dumortierii;117982;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Anthoathecata;Tubulariidae;Ectopleura;Ectopleura dumortierii;Hydroidolina;Aplanulata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
Hybocodon prolifer;117988;Animalia;Cnidaria;Medusozoa;NA;Hydrozoa;NA;NA;Anthoathecata;Tubulariidae;Hybocodon;Hybocodon prolifer;Hydroidolina;Aplanulata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Species
